SchemeCode,SchemeName,NAV,NAVDate
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,460.98,2015-09-08 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,468.66,2015-09-09 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,467.46,2015-09-10 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,467.41,2015-09-11 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,472.5,2015-09-14 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,469.32,2015-09-15 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,470.99,2015-09-16 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,476.41,2015-09-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,478.35,2015-09-21 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,471.2,2015-09-22 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,473.88,2015-09-23 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,475.78,2015-09-24 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,471.78,2015-09-28 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,473.7,2015-09-29 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,479.34,2015-09-30 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,478.63,2015-10-01 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,486.72,2015-10-05 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,486.78,2015-10-06 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,486.27,2015-10-07 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,483.83,2015-10-08 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,485.29,2015-10-09 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,484.27,2015-10-12 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,483.34,2015-10-13 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,482.85,2015-10-14 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,486.44,2015-10-15 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,489.45,2015-10-16 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,490.24,2015-10-19 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,491.87,2015-10-20 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,489.99,2015-10-21 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,490.1,2015-10-23 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,488.39,2015-10-26 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,488.73,2015-10-27 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,486.13,2015-10-28 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,483.37,2015-10-29 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,483.26,2015-10-30 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,484.44,2015-11-02 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,486.01,2015-11-03 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,484.76,2015-11-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,479.32,2015-11-05 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,476.85,2015-11-06 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,477.07,2015-11-09 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,470.18,2015-11-10 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,470.62,2015-11-13 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,472.23,2015-11-16 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,471.95,2015-11-17 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,467.45,2015-11-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,472.96,2015-11-19 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,475.06,2015-11-20 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,474.8,2015-11-23 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,472.95,2015-11-24 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,473.04,2015-11-26 00:00:00
